run_name,modes_path,checkpoint,method,r_value,seed,n_samples,selection_flag,k_neighbors,purity_threshold,max_unassigned_fraction,retained_candidates,radius,all_cells_any_candidate_pct,labeled_cells_any_candidate_pct,labeled_cells_label_consistent_pct
labeled_b10_n5000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed1.npy,labeled,b10,1.5,1,5000.0,confident_without_distance,100,0.9,0.2,747,1.0,7.606379157587223,14.569341994201624,14.42254761642629
labeled_b10_n5000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed1.npy,labeled,b10,1.5,1,5000.0,confident_without_distance,100,0.9,0.2,747,1.5,38.83348099901822,66.07337272315804,64.03293087208093
labeled_b10_n5000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed1.npy,labeled,b10,1.5,1,5000.0,confident_without_distance,100,0.9,0.2,747,2.0,59.77347285745073,86.93285380503261,83.28012037138977
labeled_b10_n5000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed2.npy,labeled,b10,1.5,2,5000.0,all_raw,100,0.9,0.2,1995,0.25,0.0,0.0,0.0
labeled_b10_n5000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed2.npy,labeled,b10,1.5,2,5000.0,all_raw,100,0.9,0.2,1995,0.5,0.05926582217858768,0.11621221573880386,0.11621221573880386
labeled_b10_n5000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed2.npy,labeled,b10,1.5,2,5000.0,all_raw,100,0.9,0.2,1995,0.8,1.9108737817580996,3.6270444175321415,3.542637650311326
labeled_b10_n5000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed2.npy,labeled,b10,1.5,2,5000.0,all_raw,100,0.9,0.2,1995,1.0,8.849165489332151,16.184080149730264,15.709444994923361
labeled_b10_n5000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed2.npy,labeled,b10,1.5,2,5000.0,all_raw,100,0.9,0.2,1995,1.5,49.67493594502048,76.1764957735452,74.10057861450574
labeled_b10_n5000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed2.npy,labeled,b10,1.5,2,5000.0,all_raw,100,0.9,0.2,1995,2.0,79.87296760135054,95.89832042766095,93.92638261954566
labeled_b10_n5000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed2.npy,labeled,b10,1.5,2,5000.0,confident_without_distance,100,0.9,0.2,749,0.25,0.0,0.0,0.0
