mode_id,score_norm_before,score_norm_after,extra_ascent_displacement,perturb_endpoint_distance_mean,perturb_endpoint_distance_max,attraction_fraction_r0.05,attraction_fraction_r0.1,attraction_fraction_r0.2,x_0,refined_x_0,x_1,refined_x_1,x_2,refined_x_2,x_3,refined_x_3,x_4,refined_x_4,x_5,refined_x_5,x_6,refined_x_6,x_7,refined_x_7,x_8,refined_x_8,x_9,refined_x_9,x_10,refined_x_10,x_11,refined_x_11,x_12,refined_x_12,run_name,modes_path,checkpoint,method,r_value,seed
88,13.762057,4.5256386,0.6497549,0.3070682,0.9117836,0.0,0.125,0.625,0.53353137,0.5559849,-0.069063775,-0.107771754,-0.5152881,-0.51729053,0.10171369,0.38206747,-0.34820795,-0.15152583,1.8196126,1.9621507,-0.36602557,-0.7493772,0.22310153,0.20314609,0.0028425413,0.23371178,-0.7702747,-0.76823133,-0.27917948,-0.44098017,0.30672455,0.35431424,0.37412402,0.14288819,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
89,5.283116,3.0515842,0.39921224,0.08416963,0.14864871,0.25,0.625,1.0,0.42377856,0.5386613,1.3437725,1.5902338,2.4782412,2.6395879,-0.92925906,-0.9282644,-0.902385,-0.8959554,-0.76059383,-0.7506425,-0.7494868,-0.7460174,2.5271642,2.6738021,-0.8691113,-0.86333704,-0.7931714,-0.7942499,-0.34987724,-0.20720734,1.122526,1.1994908,-1.0331348,-0.9262347,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
90,12.791528,3.4565837,0.66998494,0.056307465,0.1047328,0.5,0.875,1.0,-0.49543813,-0.32201707,0.21136604,0.16233028,1.7671859,2.3090122,-0.88753504,-0.8798792,-0.28194803,-0.26523516,-0.7863438,-0.78571445,-0.7896647,-0.7872666,-0.69147587,-0.6890364,-0.032688517,0.09044088,-0.79031247,-0.7877769,1.4964056,1.5767629,0.29653937,0.08239511,-0.45977443,-0.22526987,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
91,2.405527,0.7850071,0.12687823,0.031348296,0.07656654,0.75,1.0,1.0,0.61061764,0.6102636,-0.58021563,-0.538335,-0.5251929,-0.5248335,-0.88696754,-0.8838889,1.6898184,1.6884491,0.31699595,0.32024774,-0.7812064,-0.78239876,-0.68658465,-0.686935,-0.8654882,-0.8683111,0.31574365,0.39323428,-0.5837986,-0.49408635,-1.060826,-1.0602247,1.0779195,1.0940118,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
92,6.5959597,12.768527,0.96380407,0.16686907,0.26492658,0.125,0.25,0.5,0.5916821,0.51517826,-0.92195976,-0.59304506,-0.5423024,-0.544149,2.4424539,2.3956277,0.395115,-0.46942255,-0.7560336,-0.748172,-0.7869884,-0.78653884,-0.7058117,-0.69753844,1.7127281,1.6791991,1.9923937,1.7942951,0.49884298,0.3688604,0.8035002,0.8905999,-1.8858986,-1.902624,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
93,30.445621,29.135778,2.1824925,0.17527121,0.70230824,0.125,0.5,0.875,0.31016934,-0.45781958,1.0554422,0.38317704,-0.5235478,-0.5458739,-0.22983448,0.11192909,0.5614333,-0.8755005,-0.12871952,-0.80216444,-0.7860019,-0.80473375,0.7213024,0.8306405,-0.85263234,-0.99450547,-0.7742746,-0.77306724,-0.054451864,-0.8492414,0.17591876,0.3150282,0.37136266,1.0057458,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
94,16.718384,2.2475982,0.5526504,0.045635927,0.109001964,0.625,0.875,1.0,-2.1129165,-2.1255589,-0.994527,-0.9887699,0.32666916,0.75206465,-0.9122877,-0.9318346,-0.91307485,-0.91402054,-0.76752865,-0.76988155,-0.7836026,-0.7836516,-0.69619864,-0.6914763,-0.21965721,-0.11445631,-0.77199507,-0.7738382,-0.6655794,-0.6923072,-0.8621267,-1.0721675,-0.037020277,-0.2977025,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
95,5.226934,0.6519842,0.19408567,0.02430218,0.032843817,1.0,1.0,1.0,0.42727524,0.4542953,0.9891447,1.046195,-0.53045267,-0.53183204,-0.89957476,-0.8945213,1.5725946,1.5983315,0.002892167,0.14468025,-0.7806264,-0.78036237,0.2866415,0.32899022,-0.90317017,-0.90242666,-0.7746758,-0.7749812,0.09910831,0.19642223,-1.0764087,-1.0746065,1.0160692,1.0563601,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
96,19.211866,7.9641433,1.0747172,0.07249051,0.14114887,0.375,0.875,1.0,-0.16447803,0.19156983,-0.040227372,0.16861436,1.1764437,1.7577456,-0.81004494,-0.8737504,-0.9085033,-0.9072976,-0.7588313,-0.7669098,-0.7622224,-0.74960184,1.8900592,1.9002298,0.033081375,-0.028274482,0.5862192,1.3717613,-0.29762268,-0.41904178,-1.0558536,-1.0166339,-1.2714102,-1.199226,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
97,13.749953,3.1256042,0.629506,0.061080433,0.10100988,0.375,0.875,1.0,0.53286797,0.58257926,-0.07012156,-0.034847178,-0.5224833,-0.5193923,-0.90482736,-0.9015074,1.5949659,1.6750304,-0.01519429,0.33710554,-0.77085525,-0.7701953,-0.6836495,-0.6835523,-0.88575476,-0.87776417,-0.7638068,-0.7650233,-0.98670334,-0.8923099,2.0268068,1.5269903,1.0401994,1.0969777,labeled_v3f2_R0.8_seed3,results_levine13/additional_complete_fixed_checkpoint/method_seeds/v3f2_R08_R15/modes_labeled_v3f2_R0.8_seed3.npy,labeled,v3f2,0.8,3
