checkpoint,method,r_value,all_modes,confident_modes,covered_populations,mean_purity_labeled_conf,mean_unassigned_conf,mean_knn_dist_conf,nfe,elapsed_sec
all,b10,1.5,741,177,9,0.9895070181938804,0.0873446327683615,1.1777868860873046,1000000,1.853828191757202
all,b10,2.0,517,114,9,0.9910482566390496,0.0784210526315789,1.1639067340487264,1000000,1.3772478103637695
all,b10,2.5,336,73,8,0.990893875087931,0.0761643835616438,1.1557085325218062,1000000,1.1439998149871826
all,b10,3.0,217,50,9,0.9916683663021176,0.075,1.0920221147552531,1000000,0.9349808692932128
labeled,b0,0.5,996,588,11,0.9895779476774752,0.0782993197278911,1.1165099189334626,1000000,2.581699848175049
labeled,b0,0.8,953,553,11,0.989370091459944,0.0796202531645569,1.135010087511764,1000000,2.1803040504455566
labeled,b0,1.0,867,491,11,0.9894850816092864,0.0806924643584521,1.1589524691116944,1000000,1.831814765930176
labeled,b0,1.2,772,428,11,0.9890466015650388,0.0821495327102803,1.1749518414379598,1000000,1.7573730945587158
labeled,b0,1.5,604,319,11,0.989572989853719,0.0812225705329153,1.1840902534724362,1000000,1.4518520832061768
labeled,b0,2.0,377,196,11,0.9909361285668415,0.0771938775510204,1.179780034371759,1000000,1.1200230121612549
labeled,b0,2.5,231,118,10,0.991167466928618,0.0756779661016949,1.1651941563778474,1000000,0.6878550052642822
labeled,b0,3.0,134,69,10,0.9914642189944878,0.0685507246376811,1.091833951337371,1000000,0.489588975906372
labeled,b10,0.5,996,588,11,0.9895779476774752,0.0782993197278911,1.1165099189334626,1000000,2.2765800952911377
labeled,b10,0.8,953,553,11,0.989370091459944,0.0796202531645569,1.135010087511764,1000000,1.9968020915985107
labeled,b10,1.0,867,491,11,0.9894850816092864,0.0806924643584521,1.1589524691116944,1000000,1.8528590202331543
labeled,b10,1.2,772,428,11,0.9890466015650388,0.0821495327102803,1.1749518414379598,1000000,1.6776061058044434
labeled,b10,1.5,604,319,11,0.989572989853719,0.0812225705329153,1.1840902534724362,1000000,1.353892803192139
labeled,b10,2.0,377,196,11,0.9909361285668415,0.0771938775510204,1.179780034371759,1000000,1.0677838325500488
labeled,b10,2.5,231,118,10,0.991167466928618,0.0756779661016949,1.1651941563778474,1000000,0.6792449951171875
labeled,b10,3.0,134,69,10,0.9914642189944878,0.0685507246376811,1.091833951337371,1000000,0.481990098953247
