K,eps,method,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std,soft_error_mean,soft_error_std,n_found_mean,n_found_std,nfe_mean,nfe_std
5,3.0,b10,1.0,0.0,0.8399211675114809,0.07311336473359621,0.9114069179083221,0.04289691644081265,0.9062450181930427,0.1141586287584326,1495.2,279.83929061414625,2020000.0,0.0
6,1.0,v3f2,0.5666666666666667,0.1380131118684709,0.5301587301587302,0.16078460710622183,0.5462759462759462,0.14905330298435152,1.3186942231375944,0.35528136645216846,6.6,0.828078671210825,18971.333333333332,943.9042526099968
6,1.0,b0,0.3888888888888889,0.16265001215808886,0.0033561275383654386,0.0023570676663008552,0.006639986744976058,0.004648823577865296,1.2101793932203466,0.16649838013225843,1922.0,65.3266517477471,2000000.0,0.0
6,1.0,b10,0.6888888888888889,0.15257923607235452,0.08453314223752215,0.0668577789426826,0.14089036553037773,0.10337512232743017,0.9082283202198987,0.18492232615538554,1468.8,316.0416337853515,2020000.0,0.0
6,1.5,v3f2,0.7,0.12909944487358055,0.6642857142857144,0.1757688234593711,0.6796766451938866,0.15395097871414926,1.3186942231375944,0.35528136645216846,6.6,0.828078671210825,18971.333333333332,943.9042526099968
6,1.5,b0,0.8,0.1568539913523867,0.05690614943411633,0.03434341905455981,0.10437353374786353,0.06094973047353046,1.2101793932203466,0.16649838013225843,1922.0,65.3266517477471,2000000.0,0.0
6,1.5,b10,0.8666666666666667,0.12909944487358055,0.2471776591123439,0.1208756783748279,0.3694511549888432,0.15215292273167502,0.9082283202198987,0.18492232615538554,1468.8,316.0416337853515,2020000.0,0.0
6,2.0,v3f2,0.8333333333333334,0.10910894511799617,0.7845238095238095,0.16830162601051793,0.8057885776195636,0.1401687033756103,1.3186942231375944,0.35528136645216846,6.6,0.828078671210825,18971.333333333332,943.9042526099968
6,2.0,b0,0.9,0.10540925533894593,0.23437820811570972,0.12080652112871881,0.35995841370733384,0.16306887479899243,1.2101793932203466,0.16649838013225843,1922.0,65.3266517477471,2000000.0,0.0
6,2.0,b10,0.9888888888888889,0.043033148291193514,0.4388448738293518,0.133283773819698,0.595392514063162,0.1343305128421024,0.9082283202198987,0.18492232615538554,1468.8,316.0416337853515,2020000.0,0.0
6,2.5,v3f2,0.8333333333333334,0.10910894511799617,0.7845238095238095,0.16830162601051793,0.8057885776195636,0.1401687033756103,1.3186942231375944,0.35528136645216846,6.6,0.828078671210825,18971.333333333332,943.9042526099968
6,2.5,b0,1.0,0.0,0.45619983485545423,0.17016994230471907,0.6079552248670909,0.17098493582430926,1.2101793932203466,0.16649838013225843,1922.0,65.3266517477471,2000000.0,0.0
