method,K,dseed,init_seed,eps,recall,precision,f1,soft_error,n_found,n_hits,n_correct,nfe
b0,2,3,1,1.5,1.0,0.13860252004581902,0.24346076458752516,0.8970314505357548,1746,2,242,2000000
b0,2,3,1,2.0,1.0,0.3087056128293242,0.47177242888402626,0.8970314505357548,1746,2,539,2000000
b0,2,3,1,2.5,1.0,0.3877434135166094,0.5588113908378044,0.8970314505357548,1746,2,677,2000000
b0,2,3,1,3.0,1.0,0.4896907216494845,0.657439446366782,0.8970314505357548,1746,2,855,2000000
b10,2,3,1,1.0,0.5,0.051390058972198824,0.0932009167303285,0.6885028921312124,1187,1,61,2020000
b10,2,3,1,1.5,1.0,0.05897219882055602,0.11137629276054097,0.6885028921312124,1187,2,70,2020000
b10,2,3,1,2.0,1.0,0.11036225779275484,0.19878603945371776,0.6885028921312124,1187,2,131,2020000
b10,2,3,1,2.5,1.0,0.2830665543386689,0.44123440577806955,0.6885028921312124,1187,2,336,2020000
b10,2,3,1,3.0,1.0,0.5080033698399326,0.6737430167597765,0.6885028921312124,1187,2,603,2020000
v3f2,2,3,2,1.0,1.0,1.0,1.0,0.5719729953181292,2,2,2,17330
v3f2,2,3,2,1.5,1.0,1.0,1.0,0.5719729953181292,2,2,2,17330
v3f2,2,3,2,2.0,1.0,1.0,1.0,0.5719729953181292,2,2,2,17330
v3f2,2,3,2,2.5,1.0,1.0,1.0,0.5719729953181292,2,2,2,17330
v3f2,2,3,2,3.0,1.0,1.0,1.0,0.5719729953181292,2,2,2,17330
b0,2,3,2,1.0,0.5,0.01306076093128904,0.02545655783065855,1.0989204234803358,1761,1,23,2000000
b0,2,3,2,1.5,1.0,0.12776831345826234,0.2265861027190332,1.0989204234803358,1761,2,225,2000000
b0,2,3,2,2.0,1.0,0.293015332197615,0.4532279314888011,1.0989204234803358,1761,2,516,2000000
b0,2,3,2,2.5,1.0,0.3838727995457127,0.5547804677882643,1.0989204234803358,1761,2,676,2000000
b0,2,3,2,3.0,1.0,0.4849517319704713,0.6531548757170172,1.0989204234803358,1761,2,854,2000000
b10,2,3,2,1.0,1.0,0.04983108108108108,0.09493161705551086,0.5591652390664135,1184,2,59,2020000
b10,2,3,2,1.5,1.0,0.056587837837837836,0.10711430855315746,0.5591652390664135,1184,2,67,2020000
b10,2,3,2,2.0,1.0,0.10726351351351351,0.19374523264683446,0.5591652390664135,1184,2,127,2020000
