group,label_index,k_neighbors,n_reference_cells,mean,median,q90,q95,q99,selected_quantile,selected_threshold
NK_cells,10.0,25,2000,1.1849302600276983,1.1296435139808296,1.5903300762674102,1.779103133621419,2.183316712494869,0.95,1.779103133621419
NK_cells,10.0,50,2000,1.2778104761763847,1.2184327029244924,1.6998802416305911,1.8798966261279557,2.303808351062122,0.95,1.8798966261279557
NK_cells,10.0,100,2000,1.3834475929778578,1.3196218106861557,1.8263040520789473,2.001649462597224,2.442016736629032,0.95,2.001649462597224
NK_cells,10.0,200,2000,1.5042691155033603,1.4373192750338228,1.977245749792001,2.1857887487847396,2.607030534473581,0.95,2.1857887487847396
CD11bhi_Monocyte_cells,11.0,25,2000,1.0947212720962702,1.0658235679043941,1.3366189494221046,1.4596409030332258,1.7120593937511794,0.95,1.4596409030332258
CD11bhi_Monocyte_cells,11.0,50,2000,1.173792310441533,1.1455582017300865,1.426175311745591,1.5527313817519057,1.8223381230114002,0.95,1.5527313817519057
CD11bhi_Monocyte_cells,11.0,100,2000,1.2620836925139205,1.2313699735964851,1.5300214536643792,1.6583396295043673,1.9236282187691842,0.95,1.6583396295043673
CD11bhi_Monocyte_cells,11.0,200,2000,1.360656945892756,1.3312637203383495,1.63382817073402,1.7757864765778224,2.0299723582395792,0.95,1.7757864765778224
Plasma_cell_cells,12.0,25,468,1.5512174447917642,1.5251501294770413,1.8665579906412186,2.0270487075500685,2.4948300549904414,0.95,2.0270487075500685
Plasma_cell_cells,12.0,50,468,1.6666645210150977,1.64208759410438,1.9877125597680294,2.1573507000253405,2.6343461691444543,0.95,2.1573507000253405
Plasma_cell_cells,12.0,100,468,1.7972837492588685,1.7746523178556255,2.1240587746069903,2.302410572549959,2.801299853613191,0.95,2.302410572549959
Plasma_cell_cells,12.0,200,468,1.946845344491377,1.9246221052039005,2.2693746932552155,2.466394223645755,2.9740650143506544,0.95,2.466394223645755
Plasmacytoid_DC_cells,13.0,25,293,1.4632961876908381,1.4410798612634748,1.7608089474051858,1.8830109593251887,2.1309078145363305,0.95,1.8830109593251887
Plasmacytoid_DC_cells,13.0,50,293,1.5938176722162551,1.5716953388299322,1.8928155902117714,2.0217678380171455,2.271975859819902,0.95,2.0217678380171455
Plasmacytoid_DC_cells,13.0,100,293,1.7474745177225837,1.7174845935764393,2.0496523067278716,2.1635891871560053,2.435816334603053,0.95,2.1635891871560053
Plasmacytoid_DC_cells,13.0,200,293,1.934352613377194,1.904078138631719,2.2392349202015978,2.351997714478855,2.5638176076712624,0.95,2.351997714478855
Platelet_cells,14.0,25,5,0.8465629030072515,0.8703293509255281,1.0054854957034511,1.018865472522261,1.0295694539773088,0.95,1.018865472522261
Platelet_cells,14.0,50,5,0.9240489306639098,0.9371206622475862,1.070272781368686,1.0857854308057158,1.0981955503553396,0.95,1.0857854308057158
Platelet_cells,14.0,100,5,1.0105267957980495,1.008245719830456,1.155546063316932,1.1745678189798934,1.1897852235102624,0.95,1.1745678189798934
Platelet_cells,14.0,200,5,1.108149759087806,1.0857504642777993,1.2558957048115331,1.2797372949466637,1.298810567054768,0.95,1.2797372949466637
Pre-B_I_cells,15.0,25,240,1.7199791996817675,1.6717347048610058,2.066021629725309,2.2735300493790023,2.4802226448713567,0.95,2.2735300493790023
Pre-B_I_cells,15.0,50,240,1.8732895489120045,1.8166008856230236,2.2479233678464094,2.443927721242866,2.6609591697395336,0.95,2.443927721242866
Pre-B_I_cells,15.0,100,240,2.0546438083492102,1.9881520274220068,2.4454828430067352,2.6476989774099944,2.8930495113198913,0.95,2.6476989774099944
Pre-B_I_cells,15.0,200,240,2.268560360348556,2.1865446146403738,2.6636084619986646,2.891551976084853,3.1510154062530753,0.95,2.891551976084853
Pre-B_II_cells,16.0,25,994,1.2774965803442575,1.228214349199369,1.6429344792875487,1.8162004008089303,2.1104887201976403,0.95,1.8162004008089303
Pre-B_II_cells,16.0,50,994,1.386005129645436,1.3339862334887207,1.7619309233726466,1.9608160195481668,2.2182912568285613,0.95,1.9608160195481668
Pre-B_II_cells,16.0,100,994,1.510653156536885,1.4600249217172931,1.9007720008948361,2.100747056733744,2.375762411861339,0.95,2.100747056733744
Pre-B_II_cells,16.0,200,994,1.6563001419399912,1.6080811849039434,2.0482100268379186,2.255908231872475,2.490672766845329,0.95,2.255908231872475
CD11bmid_Monocyte_cells,17.0,25,1278,1.25775216071051,1.2244755520777384,1.539267612287686,1.6497453203783004,1.9024260703662226,0.95,1.6497453203783004
CD11bmid_Monocyte_cells,17.0,50,1278,1.3455244185101771,1.3087386593063153,1.6296063243530705,1.7488720770883401,2.0206860851166337,0.95,1.7488720770883401
CD11bmid_Monocyte_cells,17.0,100,1278,1.4427749171257576,1.4013684428470354,1.7296394017858592,1.8596149112787776,2.1491614142555866,0.95,1.8596149112787776
CD11bmid_Monocyte_cells,17.0,200,1278,1.5502184488302693,1.5091370394500099,1.8525271775575154,1.994963834218216,2.286712358654022,0.95,1.994963834218216
CMP_cells,18.0,25,253,1.5260490788650107,1.4925012714993653,1.822046107619999,1.9408143312830712,2.2083921072201815,0.95,1.9408143312830712
CMP_cells,18.0,50,253,1.6512341537793773,1.6132320856126434,1.9436346797299722,2.059339900456145,2.35308523671644,0.95,2.059339900456145
CMP_cells,18.0,100,253,1.7940152081222231,1.7615844823972129,2.097889769940354,2.2032940537575265,2.5296928237495218,0.95,2.2032940537575265
