label_index,raw_label,population,cell_count,percent_of_labeled_cells,percent_of_all_cells,found_modes,best_purity,min_unassigned_fraction,min_mean_knn_distance,found,annotation_flag,k_neighbors,run_name,modes_path,checkpoint,method,r_value,seed,n_samples
14,22.0,Platelet_cells,5,0.006116432407305467,0.002993223342352913,0,,,,False,confident_population_distance,25,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
2,11.0,Mature_CD4+_T_cells,13964,17.081972427122707,8.359474150523216,69,1.0,0.0,0.58530198127956,True,confident_without_distance,50,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
19,5.0,Erythroblast_cells,12030,14.716136371976953,7.201695361701109,53,1.0,0.0,0.3871009097161562,True,confident_without_distance,50,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
9,18.0,Naive_CD8+_T_cells,9564,11.699511908693896,5.725437609252652,46,1.0,0.0,0.606676178323057,True,confident_without_distance,50,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
3,12.0,Mature_CD8+_T_cells,7821,9.567323571507211,4.681999952108426,37,1.0,0.0,0.7789247563805012,True,confident_without_distance,50,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
23,9.0,Mature_CD38lo_B_cells,7796,9.536741409470684,4.667033835396662,58,1.0,0.0,1.0572427107066324,True,confident_without_distance,50,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
8,17.0,Naive_CD4+_T_cells,6987,8.547102645968659,4.1827302986039605,25,1.0,0.040000000000000036,0.5965709663035552,True,confident_without_distance,50,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
11,2.0,CD11bhi_Monocyte_cells,6779,8.292659057824752,4.05821220756208,8,1.0,0.12,0.8080790940385727,True,confident_without_distance,50,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
10,19.0,NK_cells,3864,4.726778964365665,2.313162998970331,20,1.0,0.0,0.7338475302675481,True,confident_without_distance,50,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
4,13.0,Megakaryocyte_cells,3684,4.506587397702668,2.2054069586456264,9,1.0,0.040000000000000036,0.42248410972791883,True,confident_without_distance,50,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
7,16.0,Myelocyte_cells,3025,3.7004416064198073,1.8109001221235124,2,0.9545454545454546,0.12,0.882814652808739,True,confident_without_distance,50,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
16,24.0,Pre-B_II_cells,994,1.2159467625723268,0.5950528004597591,4,1.0,0.040000000000000036,1.1158736628347272,True,confident_without_distance,50,labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0
